address,price,bathrooms,bedrooms,area,zestimate,rent_zestimate,days_on_zillow,property_url,zip,$/sqft,compare_$sqft_sold_inZip,household_median_income_on_threshold,median_age,median_house_value,poverty_rate,unemployment_rate,Target
"18 Brook St, Wakefield, MA 01880",599900,2,3,1755.0 ,648500,2999,4,https://www.zillow.com/homedetails/18-Brook-St-Wakefield-MA-01880/56350044_zpid/,01880,342,-0.0328,43.85,44.0,0.1860,0.020,0.030,1
"12 S Lincoln St, Natick, MA 01760",699000,3,4,1898.0 ,714700,4128,27,https://www.zillow.com/homedetails/12-S-Lincoln-St-Natick-MA-01760/56301168_zpid/,01760,368,-0.0654,64.92,41.1,0.2372,0.017,0.030,0
"85 Preston St, Wakefield, MA 01880",599900,2,3,1446.0 ,651000,2999,5,https://www.zillow.com/homedetails/85-Preston-St-Wakefield-MA-01880/56354558_zpid/,01880,415,0.1491,43.85,44.0,0.1860,0.020,0.030,0
"237 Summer St, Lunenburg, MA 01462",435000,3,3,1700.0 ,446800,1999,56,https://www.zillow.com/homedetails/237-Summer-St-Lunenburg-MA-01462/57613177_zpid/,01462,256,1.0000,47.47,44.3,0.4087,0.034,0.039,0
"4 Benton St, Stoneham, MA 02180",650000,2,4,2127.0 ,676400,3234,19,https://www.zillow.com/homedetails/4-Benton-St-Stoneham-MA-02180/56339858_zpid/,02180,306,-0.1538,45.07,43.8,0.3142,0.026,0.031,1
"29 Sherwood Rd, Swampscott, MA 01907",694999,2,4,1568.0 ,736100,3200,12,https://www.zillow.com/homedetails/29-Sherwood-Rd-Swampscott-MA-01907/56966892_zpid/,01907,443,0.3202,61.09,45.0,0.4616,0.017,0.033,1
"1055 Waverley St, Framingham, MA 01701",490000,3,5,1834.0 ,526300,4440,21,https://www.zillow.com/homedetails/1055-Waverley-St-Framingham-MA-01701/165994179_zpid/,01701,267,-0.1838,58.87,45.8,0.1306,0.023,0.035,1
"122 Jennings Rd, Holliston, MA 01746",569998,3,4,2058.0 ,612600,4128,20,https://www.zillow.com/homedetails/122-Jennings-Rd-Holliston-MA-01746/57070921_zpid/,01746,277,-0.1779,93.34,42.2,0.2706,0.008,0.039,1
"21 High Oaks Path, Groton, MA 01450",649900,3,4,3150.0 ,748300,3346,5,https://www.zillow.com/homedetails/21-High-Oaks-Path-Groton-MA-01450/57065726_zpid/,01450,206,1.0000,84.41,45.6,0.3740,0.014,0.034,0
"12 Maple St, Maynard, MA 01754",450000,2,3,1490.0 ,482100,2999,4,https://www.zillow.com/homedetails/12-Maple-St-Maynard-MA-01754/57087494_zpid/,01754,302,0.0625,50.36,41.7,0.2850,0.031,0.012,0
"2 Hancock St, Melrose, MA 02176",610000,3,3,1656.0 ,647600,3300,18,https://www.zillow.com/homedetails/2-Hancock-St-Melrose-MA-02176/56289669_zpid/,02176,368,-0.0061,52.79,41.3,0.0696,0.018,0.028,1
"141 Kendall Hill Rd, Sterling, MA 01564",599900,5,3,4041.0 ,613400,3399,5,https://www.zillow.com/homedetails/141-Kendall-Hill-Rd-Sterling-MA-01564/57648786_zpid/,01564,148,1.0000,73.51,46.8,0.6664,0.011,0.033,0
"21 Harriett Ave, Burlington, MA 01803",650000,3,3,2440.0 ,682100,3140,3,https://www.zillow.com/homedetails/21-Harriett-Ave-Burlington-MA-01803/57056662_zpid/,01803,266,-0.3438,69.60,41.1,0.2177,0.027,0.028,1
"107 Milk St, Westborough, MA 01581",500000,2,4,1552.0 ,512900,2600,60,https://www.zillow.com/homedetails/107-Milk-St-Westborough-MA-01581/57677061_zpid/,01581,322,1.0000,60.22,38.8,0.0915,0.025,0.023,0
"36 Pond St, Medway, MA 02053",475000,2,3,1800.0 ,493600,3599,41,https://www.zillow.com/homedetails/36-Pond-St-Medway-MA-02053/57460001_zpid/,02053,264,1.0000,89.75,41.6,0.1485,0.039,0.027,1
"74 Putnam Hill Rd, Sutton, MA 01590",599000,3,3,3228.0 ,,3200,0,https://www.zillow.com/homedetails/74-Putnam-Hill-Rd-Sutton-MA-01590/57655774_zpid/,01590,186,1.0000,49.59,44.1,0.7022,0.035,0.019,0
"116 Maple St, Wenham, MA 01984",685000,2,4,1993.0 ,721700,3369,11,https://www.zillow.com/homedetails/116-Maple-St-Wenham-MA-01984/56972304_zpid/,01984,344,1.0000,82.94,28.3,0.1320,0.004,0.022,0
"49 Abbott Ln, Chelmsford, MA 01824",669900,2,3,2280.0 ,717900,2947,4,https://www.zillow.com/homedetails/49-Abbott-Ln-Chelmsford-MA-01824/56448303_zpid/,01824,294,-0.0425,80.12,44.7,0.5681,0.015,0.043,0
"60 Summer St, Natick, MA 01760",649900,2,4,1790.0 ,662000,1791,19,https://www.zillow.com/homedetails/60-Summer-St-Natick-MA-01760/56299121_zpid/,01760,363,-0.0807,64.92,41.1,0.1503,0.017,0.030,0
"1089 Old Connecticut Path, Framingham, MA 01701",575000,2,3,1803.0 ,596100,2999,94,https://www.zillow.com/homedetails/1089-Old-Connecticut-Path-Framingham-MA-01701/165983376_zpid/,01701,319,0.0083,58.87,45.8,0.3267,0.023,0.035,1
"33 School St, Dunstable, MA 01827",595000,3,5,4295.0 ,621100,5563,5,https://www.zillow.com/homedetails/33-School-St-Dunstable-MA-01827/57064887_zpid/,01827,139,1.0000,94.16,45.2,0.2635,0.013,0.036,1
"16 Wamesit Ave, Billerica, MA 01821",499900,2,3,2132.0 ,562200,3140,6,https://www.zillow.com/homedetails/16-Wamesit-Ave-Billerica-MA-01821/56424607_zpid/,01821,234,-0.2914,51.63,41.1,0.2234,0.021,0.042,0
"18 1/2 Snow Rd, Grafton, MA 01536",525000,2,3,2064.0 ,547800,3184,11,https://www.zillow.com/homedetails/18-1-2-Snow-Rd-Grafton-MA-01536/57590761_zpid/,01536,254,1.0000,56.18,39.7,0.5039,0.032,0.055,0
"25 Berkeley St, Reading, MA 01867",499900,2,3,1120.0 ,521500,2929,87,https://www.zillow.com/homedetails/25-Berkeley-St-Reading-MA-01867/57100429_zpid/,01867,446,0.0820,89.93,43.3,-0.1118,0.020,0.031,0
"234 Central Ave LOT 27, Marshfield, MA 02050",659000,2,3,912.0 ,659000,2749,10,https://www.zillow.com/homedetails/234-Central-Ave-LOT-27-Marshfield-MA-02050/2069237703_zpid/,02050,723,1.0000,46.07,45.5,0.4270,0.046,0.047,0
"42 Crimson Rd, Billerica, MA 01821",550000,3,3,2244.0 ,636500,3499,46,https://www.zillow.com/homedetails/42-Crimson-Rd-Billerica-MA-01821/56421883_zpid/,01821,245,-0.2354,51.63,41.1,0.3461,0.021,0.042,1
